iter	Passed	Remaining
455	937	1118
456	940	1117
457	944	1118
458	947	1116
459	948	1113
460	949	1110
461	950	1106
462	953	1106
463	955	1104
464	958	1103
465	961	1102
466	968	1105
467	970	1103
468	979	1109
469	983	1108
470	985	1107
471	986	1103
472	989	1101
473	992	1101
474	1002	1107
475	1005	1106
476	1012	1110
477	1015	1108
478	1016	1106
479	1021	1106
480	1029	1111
481	1031	1108
482	1036	1108
483	1042	1111
484	1045	1110
485	1048	1108
486	1052	1108
487	1057	1109
488	1061	1109
489	1066	1109
490	1069	1108
491	1071	1106
492	1073	1103
493	1080	1106
494	1085	1107
495	1100	1118
496	1111	1125
497	1121	1130
498	1128	1133
499	1131	1131
500	1133	1129
501	1136	1127
502	1141	1127
503	1152	1133
504	1156	1133
505	1161	1133
506	1175	1142
507	1185	1148
508	1190	1148
509	1200	1153
510	1203	1151
511	1221	1163
512	1229	1167
513	1248	1180
514	1250	1177
515	1252	1174
516	1253	1170
517	1254	1167
518	1256	1164
519	1260	1163
520	1261	1160
521	1267	1160
522	1270	1158
523	1276	1159
524	1278	1157
525	1280	1153
526	1281	1149
527	1282	1146
528	1287	1146
529	1293	1146
530	1296	1145
531	1298	1142
532	1301	1140
533	1303	1137
534	1313	1141
535	1321	1143
536	1323	1141
537	1325	1138
538	1327	1135
539	1329	1132
540	1332	1130
541	1336	1129
542	1338	1126
543	1340	1123
544	1342	1120
545	1343	1117
546	1347	1116
547	1352	1115
548	1354	1112
549	1355	1109
550	1356	1105
551	1357	1101
552	1358	1098
553	1361	1096
554	1363	1093
555	1364	1090
556	1366	1086
557	1367	1082
558	1368	1079
559	1369	1076
560	1370	1072
561	1372	1069
562	1373	1065
563	1374	1062
564	1379	1062
565	1382	1060
566	1384	1056
567	1386	1054
568	1387	1050
569	1388	1047
570	1389	1043
571	1393	1042
572	1398	1042
573	1399	1038
574	1401	1035
575	1402	1032
576	1403	1029
577	1407	1027
578	1411	1025
579	1414	1024
580	1415	1020
581	1416	1017
582	1417	1013
583	1418	1010
584	1419	1006
585	1424	1006
586	1428	1004
587	1429	1001
588	1430	998
589	1432	995
590	1433	992
591	1436	990
592	1439	988
593	1442	985
594	1443	982
595	1444	979
596	1445	975
597	1446	972
598	1447	969
599	1451	967
600	1453	965
601	1455	962
602	1456	959
603	1458	956
604	1462	955
605	1476	959
606	1477	956
607	1478	953
608	1487	954
609	1488	951
610	1489	948
611	1490	945
612	1492	942
613	1494	939
614	1498	937
615	1503	937
616	1504	933
617	1505	930
618	1506	927
619	1507	923
620	1512	923
621	1516	921
622	1517	918
623	1521	916
624	1522	913
625	1523	910
626	1527	908
627	1529	906
628	1532	903
629	1535	901
630	1543	902
631	1546	900
632	1548	897
633	1549	894
634	1551	891
635	1556	891
636	1558	887
637	1559	885
638	1562	882
639	1571	884
640	1575	882
641	1580	881
642	1586	880
643	1591	879
644	1607	884
645	1617	886
646	1622	885
647	1647	895
648	1661	898
649	1664	896
650	1668	894
651	1675	894
652	1676	891
653	1679	888
654	1685	887
655	1688	885
656	1689	882
657	1695	881
658	1698	878
659	1699	875
660	1704	874
661	1707	871
662	1710	869
663	1714	867
664	1722	867
665	1726	865
666	1734	865
667	1736	862
668	1738	860
669	1742	858
670	1747	856
671	1752	855
672	1757	853
673	1759	851
674	1762	848
675	1765	845
676	1769	844
677	1773	842
678	1774	838
679	1776	835
680	1777	832
681	1780	830
682	1780	826
683	1781	823
684	1782	819
685	1783	816
686	1784	813
687	1786	809
688	1787	806
689	1789	803
690	1792	801
691	1795	799
692	1796	796
693	1797	792
694	1798	789
695	1799	786
696	1800	782
697	1801	779
698	1802	776
699	1803	773
700	1806	770
701	1808	767
702	1809	764
703	1810	761
704	1811	757
705	1812	754
706	1813	751
707	1814	748
708	1816	745
709	1817	742
710	1819	739
711	1823	737
712	1827	735
713	1828	732
714	1829	729
715	1830	726
716	1831	722
717	1832	719
718	1833	716
719	1835	713
720	1837	710
721	1842	709
722	1844	706
723	1845	703
724	1846	700
725	1847	697
726	1848	694
727	1851	691
728	1854	689
729	1856	686
730	1857	683
731	1858	680
732	1859	677
733	1860	674
734	1861	671
735	1862	667
736	1863	664
737	1866	662
738	1868	659
739	1869	656
740	1870	653
741	1871	650
742	1873	647
743	1874	645
744	1875	642
745	1876	638
746	1877	635
747	1881	633
748	1883	631
749	1886	628
750	1889	626
751	1890	623
752	1892	620
753	1894	618
754	1896	615
755	1897	612
756	1898	609
757	1899	606
758	1900	603
759	1901	600
760	1902	597
761	1903	594
762	1904	591
763	1905	588
764	1906	585
765	1910	583
766	1913	581
767	1913	578
768	1914	575
769	1915	572
770	1916	569
771	1917	566
772	1918	563
773	1919	560
774	1921	557
775	1922	554
776	1924	552
777	1925	549
778	1926	546
779	1927	543
780	1928	540
781	1929	537
782	1930	535
783	1931	532
784	1932	529
785	1933	526
786	1934	523
787	1935	520
788	1938	518
789	1941	516
790	1943	513
791	1945	510
792	1946	507
793	1946	505
794	1947	502
795	1948	499
796	1949	496
797	1951	494
798	1953	491
799	1955	488
800	1956	485
801	1957	483
802	1957	480
803	1959	477
804	1960	474
805	1961	472
806	1962	469
807	1963	466
808	1965	464
809	1968	461
810	1974	460
811	1976	457
812	1977	454
813	1978	452
814	1979	449
815	1985	447
816	1988	445
817	1989	442
818	1992	440
819	1998	438
820	2003	436
821	2014	436
822	2018	434
823	2023	432
824	2025	429
825	2028	427
826	2033	425
827	2039	423
828	2043	421
829	2046	419
830	2051	417
831	2052	414
832	2053	411
833	2055	409
834	2065	408
835	2071	406
836	2076	404
837	2080	402
838	2082	399
839	2083	396
840	2086	394
841	2092	392
842	2097	390
843	2101	388
844	2106	386
845	2109	383
846	2118	382
847	2121	380
848	2126	378
849	2131	376
850	2133	373
851	2137	371
852	2144	369
853	2149	367
854	2153	365
855	2156	362
856	2157	359
857	2160	357
858	2165	355
859	2171	353
860	2172	350
861	2176	348
862	2181	346
863	2186	344
864	2188	341
865	2190	338
866	2191	336
867	2195	333
868	2198	331
869	2202	329
870	2203	326
871	2205	323
872	2209	321
873	2215	319
874	2216	316
875	2217	313
876	2218	311
877	2218	308
878	2222	305
879	2227	303
880	2232	301
881	2233	298
882	2235	296
883	2236	293
884	2246	291
885	2248	289
886	2250	286
887	2253	284
888	2256	281
889	2261	279
890	2261	276
891	2262	273
892	2263	271
893	2268	268
894	2270	266
895	2274	264
896	2275	261
897	2276	258
898	2277	255
899	2278	253
900	2280	250
901	2285	248
902	2287	245
903	2289	243
904	2291	240
905	2292	237
906	2293	235
907	2296	232
908	2300	230
909	2304	227
910	2306	225
911	2307	222
912	2308	219
913	2310	217
914	2314	214
915	2316	212
916	2321	210
917	2322	207
918	2324	204
919	2329	202
920	2334	200
921	2335	197
922	2336	194
923	2340	192
924	2342	189
925	2346	187
926	2347	184
927	2348	182
928	2354	179
929	2357	177
930	2361	174
931	2362	172
932	2363	169
933	2365	167
934	2367	164
935	2369	162
936	2371	159
937	2375	156
938	2376	154
939	2377	151
940	2379	149
941	2383	146
942	2388	144
943	2389	141
944	2390	139
945	2391	136
946	2392	133
947	2399	131
948	2403	129
949	2407	126
950	2413	124
951	2421	122
952	2424	119
953	2428	117
954	2430	114
955	2435	112
956	2437	109
957	2439	106
958	2444	104
959	2449	102
960	2450	99
961	2451	96
962	2452	94
963	2453	91
964	2454	89
965	2458	86
966	2460	83
967	2463	81
968	2465	78
969	2466	76
970	2469	73
971	2474	71
972	2479	68
973	2481	66
974	2482	63
975	2484	61
976	2489	58
977	2491	56
978	2495	53
979	2497	50
980	2499	48
981	2502	45
982	2507	43
983	2509	40
984	2510	38
985	2511	35
986	2514	33
987	2515	30
988	2517	27
989	2520	25
990	2521	22
991	2523	20
992	2524	17
993	2526	15
994	2531	12
995	2532	10
996	2533	7
997	2534	5
998	2535	2
999	2536	0
